org_name,owner_of_items,registrants_and_same_subject_matter_contacts,llm_first_pass_note,reviewer_verdict,reviewer_note
CP REIT Ontario Properties Limited,"2024.TE17.8: 985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval","Amir Remtulla (Consultant; President, lobbies_for__client) same-SM contacts: none | Amir Remtulla (Consultant; President, lobbies_for__client) same-SM contacts: none | Amir Remtulla (Consultant; President, lobbies_for__client) same-SM contacts: Gary Crawfordx1 | Amir Remtulla (Consultant; President, lobbies_for__client) same-SM contacts: none | Kim Kovar (Consultant; lawyer, lobbies_for__client) same-SM contacts: none | Tasnia Khan (Consultant; Director, Strategic Advisory, lobbies_for__client) same-SM contacts: Frances Nunziatax1","985 Woodbine Ave / 2078-2106 Danforth Ave. Represented across 5 subject matters by 3 different consultants plus a lawyer; filtered to the SAME subject matter, only 2 of 5 show any lobbied-office contact at all (Gary Crawford x1, Frances Nunziata x1) -- thin. The lead registrant, Amir Remtulla, is otherwise extremely active (151 total contacts, 22 offices) across many unrelated clients -- that volume has nothing to do with this property and would be misleading if quoted unfiltered.",,
Pinemount Developments Ltd.,2025.EY23.1: 3406-3434 Weston Road - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,"Mike Dror (Consultant; Partner, lobbies_for__client) same-SM contacts: Parthi Kandavelx2 | Mark Sim (In-house; Development Manager, represents) same-SM contacts: none | Joe Mihevc (Consultant; Principal, lobbies_for__client) same-SM contacts: Anthony Perruzzax1, Olivia Chowx1, Lily Chengx1, Nick Mantasx1, Jon Burnsidex1, Mike Collex1, Chris Moisex1, Paul Ainsliex1, Stephen Holydayx1, Vincent Crisantix2, Frances Nunziatax2 | Eli Turkienicz (In-house; Director, represents) same-SM contacts: none","3406-3434 Weston Road. 4 registrants across 4 subject matters. Joe Mihevc (the same Joe Mihevc named in the prior session's registrant-donor adjudication -- donated to both Matlow's and Perruzza's 2023 mayoral bids) is the most active: 11 lobbied-office contacts tied to this exact subject matter (SM36654), across 11 different councillors in a tight May 27-June 25, 2025 window, including Perruzza and Chow. The single most concentrated same-subject-matter lobbying push found among these 14.",,
Queen Kingston Holdings Inc.,"2026.TE29.12: 1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval","Tony Volpentesta (Consultant; Partner, lobbies_for__client) same-SM contacts: none","1698 Queen St E. One registrant (Tony Volpentesta), zero lobbied-office contacts tied to this subject matter -- no access pattern visible in this data.",,
Microbjo Properties Inc.,"2023.TE4.13: 25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval","Richard Ositashvili (Consultant; Consultant, lobbies_for__other) same-SM contacts: none | Aidan Grove-White (Consultant; Principal, lobbies_for__other) same-SM contacts: none | Michael Naiberg (In-house; President, represents) same-SM contacts: none | Tristan Downe-Dewdney (Consultant; Principal, lobbies_for__client) same-SM contacts: Jon Burnsidex1 | Tristan Downe-Dewdney (Consultant; Principal, lobbies_for__client) same-SM contacts: Gord Perksx3, Chris Moisex2, Josh Matlowx2, Olivia Chowx1 | Tristan Downe-Dewdney (Consultant; Principal, lobbies_for__other) same-SM contacts: Gord Perksx3 | Tristan Downe-Dewdney (Consultant; Principal, lobbies_for__other) same-SM contacts: Gord Perksx5, Alejandra Bravox1, Chris Moisex3, Josh Matlowx2, Shelley Carrollx3, Jamaal Myersx2, Mike Collex4, Amber Morleyx2","25 St. Mary Street (Rental Housing Demolition application). 4 registrants across 5 subject matters. Tristan Downe-Dewdney (see also 2724471 Ontario and Crestview Investment below -- same person, 1,174 total contacts across 24 offices generally) shows real same-subject-matter activity here across 4 of his 5 SMs: Gord Perks contacted repeatedly (11 contacts total across 3 SMs, April 2024-November 2025) plus single contacts to Burnside, Moise, Matlow, Chow, Carroll, Myers, Colle, Morley, Bravo. Perks is the one office touched across nearly every subject matter tied to this file.",,
1001184476 Ontario Inc.,2026.SC31.1: 3307 and 3313 Ellesmere Road - Official Plan Amendment and Zoning By-law Amendment - Decision Report - Approval,"Michael Testaguzza (Consultant; Partner, lobbies_for__client) same-SM contacts: Neethan Shanx3","3307/3313 Ellesmere Road. One registrant (Michael Testaguzza), 3 contacts to Neethan Shan tied to this subject matter, Dec 2025-Apr 2026 -- straightforward single-councillor pattern.",,
Parc Downsview Park Inc.,2026.NY34.9: 1377 Sheppard Avenue West (Downsview West District) - Zoning By-law Amendment - Decision Report - Approval,"David Bronskill (Consultant; Lawyer, lobbies_for__client) same-SM contacts: none","1377 Sheppard Ave W. One registrant (David Bronskill, lawyer), zero lobbied-office contacts tied to this subject matter. Note: Parc Downsview Park Inc. is itself a federal Crown corporation, not a private developer -- changes the character of any finding here even where contacts exist.",,
2872136 Ontario Inc,"2025.SC23.1: 2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval","Gianni Ria (Consultant; Director, lobbies_for__client) same-SM contacts: none | Kevin Wassermuhl (Consultant; President, lobbies_for__client) same-SM contacts: Paul Ainsliex3, Olivia Chowx1, Parthi Kandavelx9, Jamaal Myersx1, Michael Thompsonx5, Nick Mantasx1","2823-2829 Eglinton Ave E. 2 registrants; Kevin Wassermuhl is the active one -- 20 lobbied-office contacts tied to this exact subject matter, concentrated on Parthi Kandavel (9 contacts, Apr-May 2025) and Michael Thompson (5 contacts, May-June 2025), the ward's own councillors, plus smaller counts to Ainslie, Chow, Myers, Mantas -- consistent with normal ward casework, not on its own surprising.",,
Manulife Ontario Property Portfolio Inc.,2026.NY33.2: 75-81 Billy Bishop Way - Official Plan Amendment and Zoning By-law Amendment Applications - Appeal Report,"Tabby Nassiri (Consultant; Senior Development Manager, lobbies_for__client) same-SM contacts: Josh Matlowx1 | Adi Purnomo (Consultant; SVP, Development, lobbies_for__client) same-SM contacts: Josh Matlowx1 | Philip Ristevski (In-house; Managing Director, represents) same-SM contacts: Josh Matlowx1","75-81 Billy Bishop Way (Appeal Report). 3 registrants (2 consultants + 1 in-house exec) each independently logged exactly 1 contact to Josh Matlow, all on the SAME day, 2022-11-17. A same-day, multi-registrant contact to one office is a distinctive pattern worth a second look even though the total volume (3) is small.",,
2724471 Ontario Inc.,2024.NY10.5: 3 Swift Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,"Tristan Downe-Dewdney (Consultant; Principal, lobbies_for__other) same-SM contacts: Josh Matlowx1, Chris Moisex1, Shelley Carrollx1, Amber Morleyx2","3 Swift Drive. Tristan Downe-Dewdney again (see microbjo properties and crestview investment) -- 5 contacts tied to this subject matter across 4 councillors (Matlow, Moise, Carroll, Morley x2) in a tight Jan 29-Feb 1, 2024 window.",,
SLH Lakeshore Inc.,2023.TE9.27: 685 Lake Shore Boulevard East - Applications for Zoning By-law Amendment and Site Plan Control - Appeal Report,"Gayle Nathanson (Consultant; Principal, lobbies_for__subsidiary_company) same-SM contacts: none | Naram Mansour (In-house; President, represents) same-SM contacts: none","685 Lake Shore Blvd E (Appeal Report). 2 registrants, zero lobbied-office contacts tied to either subject matter -- thin.",,
