item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2023.CC1.5,"415 Broadview Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2023.CC11.9,Official Plan Amendment 309 - 18 Champlain Boulevard - Tippett Road Regeneration Area - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,False,,,,,,False,
2023.CC13.17,975 Danforth Avenue - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2023.CC3.6,5238 Dundas Street West and 28 Jopling Avenue South - Official Plan and Zoning By-law Amendment Application - Request for Direction,False,,,,,,False,
2023.CC5.22,399-405 Yonge Street - Zoning By-law Amendment - Ontario Land Tribunal Hearing - Request for Directions Report,False,,,,,,False,
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,False,,,,,,False,
2023.CC6.13,"15, 19, 21 and 23 Toryork Drive - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,False,,,,,,False,
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2023.DM10.1,20 Broadoaks Drive and 11 Catford Road - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2023.DM12.1,25 Old York Mills Road - Official Plan and Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2023.EY5.1,4500 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,True,21 188070 WET 07 OZ,Bousfields Inc.,,,GF II 4500 Jane Street Ltd.,True,4500 JANE ST
2023.EY6.2,2801 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,True,21 199452 WET 07 OZ,Bousfields Inc.,Bousefields Inc.,WZMH,GF 2801 Jane Street Ltd.,True,2801 JANE ST
2023.EY7.3,"5, 6 and 9 Jopling Avenue South - Zoning By-law Amendment - Decision Report - Approval",True,22 194681 WET 03 OZ,"CCD Jopling Residences LP. c/o Daniel Oliveira 134 Peter Street Toronto, Ontario M5V 2H2","Bousfields Inc. 3 Church Street, Suite 200 Toronto, Ontario M5E 1M2","Quadrangle Architects Ltd. 901 King Street West, Suite 701 Toronto, Ontario M5V 3H5","Anna Lukaczow 5 Jopling Avenue South Toronto, Ontario M9B 3P4",True,9 JOPLING AVE
2023.MM10.5,"Request to Consider Heritage Designation at 3100 Weston Road - by Councillor Anthony Perruzza, seconded by Councillor James Pasternak",False,,,,,,False,
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,True,22 127125 NNY 16 OZ 22 127161 NNY 16 RH,"Goldberg Group 2098 Avenue Road Toronto, ON M5M 4A8","Tenblock 30 Soudan Avenue, Suite 200 Toronto, Ontario, M5A 4S7,","Diamond Schmitt Architects 384 Adelaide St. W., suite 100 Toronto, ON M5V 1R7","48 GRENOBLE DRIVE LIMITED 85 Spy Court, suite 100 Markham, ON L3R 4Z4",False,
2023.PB1.4,"51 Panorama Court - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2023.PB10.3,220 Cowan Avenue and 1313 Queen Street West - Alterations to Designated Heritage Properties,False,,,,,,False,
2023.PB4.10,"5, 7, 9, 11, 13 Charles Street West; 11, 13 Irwin Avenue; 10 Isabella Street, 145 St. Luke Lane and 750 and 756 Yonge Street - Inclusion of 11 Properties on the Heritage Register",False,,,,,,False,
2023.PB4.3,"153 and 185 Eastern Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2023.PB6.5,1404 and 1420 Yonge Street - Alterations to Heritage Properties and Authority to Enter into a Heritage Easement Agreement and 1404 and 1406 Yonge Street - Demolition of Heritage Properties,False,,,,,,False,
2023.PB6.6,64 Wellesley Street East - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement,False,,,,,,False,
2023.PB7.1,"38 Walmer Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2023.PB7.9,94 Cortleigh Boulevard - Inclusion on the Heritage Register,False,,,,,,False,
2023.PH1.9,Creating New Affordable and Supportive Homes for People Experiencing Homelessness,False,,,,,,False,
2023.PH3.13,"4888 Dundas Street West - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2023.PH3.16,Expanding Housing Options in Neighbourhoods: Multiplex Study - Final Report,False,,,,,,False,
2023.PH3.17,Update Downsview: Draft Secondary Plan and Draft Community Development Plan Priorities - Status Report,False,,,,,,False,
2023.PH3.18,Our Plan Toronto: Employment Area Conversion Requests Status Update,False,,,,,,False,
2023.PH3.6,Housing Now Initiative - 2023 Progress Update,False,,,,,,False,
2023.PH4.1,Creation of a Woodbine Special Sign District,False,,,,,,False,
2023.PH4.5,Our Plan Toronto: Recommendations on Forty-Five Employment Area Conversion Requests - Final Report,False,,,,,,False,
2023.PH4.7,Mid-Rise Buildings Rear Transition Performance Standards Review & Draft Update,False,,,,,,False,
2023.PH4.8,City Comments on the Proposed Provincial Planning Statement,False,,,,,,False,
2023.PH5.3,Our Plan Toronto: Recommendations on Seventy Employment Area Conversion Requests and Chapter 7 Site and Area Specific Policy Review - Final Report,False,,,,,,False,
2023.PH6.2,"Bill 109 Implementation, Phase 3 - Recommended Official Plan and Municipal Code Amendments respecting Site Plan Control",False,,,,,,False,
2023.PH7.13,Area-Specific Amendment to the Sign By-law: 195 Galaxy Boulevard,False,,,,,,False,
2023.PH8.11,Federal Rapid Housing Initiative - Program Update and Phase Three Implementation,False,,,,,,False,
2023.PH8.16,Amendments to Toronto Municipal Code Chapter 667: Rental Demolition and Conversion By-law,False,,,,,,False,
2023.PH8.2,"Recommended Amendments to Zoning By-laws for Bars, Restaurants and Entertainment Venues as part of the Night Economy Review - Final Report",False,,,,,,False,
2023.PH8.23,Supporting Purpose Built Rental Homes in Etobicoke North,False,,,,,,False,
2023.PH8.3,Housing Action Plan: Zoning By-law Simplification and Modernization for Low-rise Residential Zones - Phase 1 Final Report,False,,,,,,False,
2023.SC2.1,"1625, 1633 and 1641 Kingston Road and 52 Birchcliff Avenue - Rental Housing Demolition Application - Final Report",False,,,,,,False,
2023.TE1.6,415 Broadview Avenue - Official Plan and Zoning By-law Amendment - Request for Direction Report,True,,BOUSFIELDS INC,,Finegold Alexander,PRESBYTERIAN CHURCH,False,
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",True,21 166606 STE 13 OZ,"Urban Strategies Inc 197 Spadina Ave, Suite 600, Toronto, ON","Urban Strategies Inc 197 Spadina Ave, Suite 600, Toronto, ON","gh3 55 Ossington Ave, Suite 100, Toronto, ON M6J 2Y9","Microbjo Properties Inc 30 Soudan Ave, Suite 200,",True,25 ST MARY ST
2023.TE4.36,Ontario Place - Official Plan Amendment and Zoning By-law Amendment - Status Report,True,22 233864 STE 10 OZ,URBAN STRATEGIES,,,MANAGEMENT BOARD SECRETARIAT,True,955 LAKE SHORE BLVD
2023.TE5.9,880-882 and 888 Eastern Avenue and 74-80 Knox Avenue - Zoning By-law Amendment Application - Decision Report - Approval,True,21 136166 STE 14 OZ,TAS Impact Developments,,SvN,880EA CORP.,True,880-882 EASTERN AVE
2023.TE6.21,325 Gerrard Street East (Regent Park Phases 4 and 5) - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,True,,2747199 Ontario Limited (Deltera Inc.),,E.R.A. Architects Inc. and Karakusevic Carson Architects,Toronto Community Housing Corporation,False,
2023.TE9.12,822-838 Richmond Street West Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval,True,22 175863 STE 10 OZ,HULLMARK DEVELOPMENTS LTD,,ATELIER BARDA,HM PF (822-838 RICHMOND) LTD,True,834 RICHMOND ST
2023.TE9.27,685 Lake Shore Boulevard East - Applications for Zoning By-law Amendment and Site Plan Control - Appeal Report,True,22 204512 STE 14 OZ,HILARY SPRIGGS,,BDP Quadrangle,SLH LAKESHORE INC,True,685 LAKE SHORE BLVD
2024.CC14.10,"3585 and 3595 St. Clair Avenue East, 636 to 646 and 641 to 663 Danforth Road, and 411 and 415 Kennedy Road - Official Plan Amendment, Zoning Amendment, Draft Plan of Subdivision - Request for Direction",False,,,,,,False,
2024.CC17.6,4888 Dundas Street West - Alteration of a Property Designated under Part IV of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement - Request for Directions,False,,,,,,False,
2024.CC17.7,4884-4896 Dundas Street West - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC18.12,Official Plan Amendment 573 - Danforth Avenue - Planning Study (Segment 2 - Don Valley to Coxwell Avenue),False,,,,,,False,
2024.CC19.12,"300 Borough Drive, 1755 Brimley Road, 400 to 580 Progress Avenue and 350 Town Centre Court - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2024.CC20.19,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment - Request for Direction Report",False,,,,,,False,
2024.CC21.3,70-86 Lynn Williams Street - Zoning By-law Amendment Application- Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC21.4,"4195 Dundas Street West and 556, 558, 560, 562 and 564 Prince Edward Drive North - Official Plan Amendment and Zoning By-law Amendment Applications - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2024.CC23.14,710 The West Mall - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC23.16,49-59 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2024.CC24.12,33-51 Walsh Avenue and 2717-2745 Weston Road - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC24.13,417-419 Burnhamthorpe Road - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.CC24.6,"4001 Steeles Avenue West, 5000 Jane Street and 360 Hullmar Drive - Ontario Land Tribunal Hearing - Request for Directions",False,,,,,,False,
2024.DM20.1,5051-5061 Yonge Street - Official Plan and Zoning Amendment Applications - Ontario Land Tribunal Hearing - Request for Directions,False,,,,,,False,
2024.EY10.5,4884-4896 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Appeal Report,True,22 139836 WET 03 OZ,"Annalisa Longo Rockport Group 170 The Donway West, Suite 307 Toronto, ON M3C 2G3","Annalisa Longo Rockport 170 The Donway West, Suite 307 Toronto, ON M3C 2G3","Graziani & Corazza 8400 Jane Street, Building D – Suite 300 Concord, ON L4K 4L8","Islington Village Developments Inc. c/o Kipling Realty Management Inc. 170 The Donway West, Suite 307 Toronto, ON M3C 2G3",True,4888 DUNDAS ST
2024.EY12.7,12 Hillside Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Refusal,True,23 126569 WET 07 OZ,"Corbett Land Strategies Inc. 5045 South Service Road, Burlington, Ontario",N/A,"Hunt Design Associates 2966 Woodbine Avenue, Markham, Ontario","Adriana Ortino 11904 Woodbine Avenue, Stouffville, Ontario",True,12 HILLSIDE RD
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,True,,"Urban Strategies 197 Spadina Ave. Toronto, ON M5T 2C8","Emily Reisman 197 Spadina Ave. Toronto, ON M5T 2C8","BDP. Quadrangle 8 Spadina Ave. Suite 2100 Toronto, ON M5V 0S8","Brad-Jay Investments Ltd. 3100 Steeles Ave. W. Toronto, ON L4K 3R1",False,
2024.EY18.6,4875 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Refusal,True,24 143269 WET 03 OZ,"Lincoln Lo Lincoln Lo Malone Given Malone Given Parsons Ltd Parsons Ltd 140 Renfrew Dr, 140 Renfrew Dr, Suite 201 Suite 201 Markham, ON L3R Markham, ON L3R 6B3 6B3",,"Graziani & Corazza 8400 Jane Street, Building D, Suite 300 Concord ON L4K 4L8","4875 Dundas St. West Residences Limited C/O South Building E 8700 Dufferin St, Floor 2 Vaughan, ON L4K 4S6",True,4875 DUNDAS ST
