member_id,member_name,ward_number,office,is_current,dev_affiliation_share,ward_development_intensity,n_donors_phase3,distinct_lobbyists_contacted_office,total_lobbying_contacts_to_office,lobbyist_donor_overlap_corroborated,lobbyist_donor_overlap_name_only
tory_john,John Tory,0,Mayor,False,,,,34,180,1,2
chow_olivia,Olivia Chow,0,Mayor,True,0.07013963658881975,0.0,3212,179,1590,2,4
crisanti_vincent,Vincent Crisanti,1,Councillor,True,0.0,75.0,90,80,334,1,2
holyday_stephen,Stephen Holyday,2,Councillor,True,0.0,84.0,6,84,347,0,0
morley_amber,Amber Morley,3,Councillor,True,0.0,350.0,212,123,645,0,0
perks_gord,Gord Perks,4,Councillor,True,0.0,163.0,122,88,300,0,0
nunziata_frances,Frances Nunziata,5,Councillor,True,0.0,267.0,110,85,347,0,5
pasternak_james,James Pasternak,6,Councillor,True,0.0939053159570326,106.0,100,89,513,3,0
perruzza_anthony,Anthony Perruzza,7,Councillor,True,0.3237277743715512,88.0,93,78,295,2,2
colle_mike,Mike Colle,8,Councillor,True,0.09016340991003569,451.0,114,106,413,0,1
bravo_alejandra,Alejandra Bravo,9,Councillor,True,0.0,195.0,231,82,346,0,0
malik_ausma,Ausma Malik,10,Councillor,True,0.06378197789189083,303.0,259,116,451,1,3
saxe_dianne,Dianne Saxe,11,Councillor,True,0.0,255.0,152,149,882,1,2
matlow_josh,Josh Matlow,12,Councillor,True,0.05288487969216461,439.0,208,119,540,6,7
moise_chris,Chris Moise,13,Councillor,True,0.0,525.0,142,128,1121,1,5
fletcher_paula,Paula Fletcher,14,Councillor,True,0.0,174.0,194,67,245,0,2
burnside_jon,Jon Burnside,16,Councillor,True,0.0579185520361991,101.0,112,99,388,2,2
carroll_shelley,Shelley Carroll,17,Councillor,True,0.05557699729834041,109.0,95,114,568,1,2
cheng_lily,Lily Cheng,18,Councillor,True,0.0,312.0,180,94,605,0,0
bradford_brad,Brad Bradford,19,Councillor,True,0.17896641866076815,115.0,153,138,700,5,8
thompson_michael,Michael Thompson,21,Councillor,True,0.03730569948186528,115.0,117,78,215,2,4
mantas_nick,Nick Mantas,22,Councillor,True,0.04326923076923077,103.0,79,71,459,0,3
myers_jamaal,Jamaal Myers,23,Councillor,True,0.0,56.0,93,110,522,0,0
ainslie_paul,Paul Ainslie,24,Councillor,True,0.0,94.0,53,78,259,0,0
robinson_jaye,Jaye Robinson,15,Councillor,False,,,,36,84,0,0
chernoslin_rachel,Rachel Chernos Lin,15,Councillor,True,0.07917089076356762,271.0,181,50,183,0,0
crawford_gary,Gary Crawford,20,Councillor,False,,,,32,84,1,2
kandavel_parthi,Parthi Kandavel,20,Councillor,True,0.0,129.0,117,63,346,2,1
mckelvie_jennifer,Jennifer McKelvie,25,Councillor,False,,,,101,444,2,5
shan_neethan,Neethan Shan,25,Councillor,True,0.0,69.0,147,16,39,0,0
