dropped_member,logit_coef,logit_p,logit_ci_low,logit_ci_high,spearman_rho,spearman_p
Alejandra Bravo,-2.083998644924579,0.34399178934328556,-6.400314915447324,2.2323176255981663,-0.26304726152954094,0.2039363758514777
Amber Morley,-2.3564513415013066,0.2819147684379608,-6.648681738946001,1.9357790559433874,-0.3020479596112079,0.1422537967232079
Anthony Perruzza,-1.684808073025823,0.7107283583362007,-10.588443833164867,7.2188276871132215,-0.20545112182043837,0.32451262801196995
Ausma Malik,-2.471888058694256,0.2429536243572038,-6.621136273514409,1.6773601561258968,-0.35639970205490645,0.080340490939761
Brad Bradford,-1.9462587953002137,0.3836822313685082,-6.3251569756200805,2.4326393850196535,-0.20545112182043837,0.32451262801196995
Chris Moise,-2.2987196273278996,0.2897173356213161,-6.554154911850016,1.9567156571942168,-0.2804731053532645,0.17445966002443136
Dianne Saxe,-2.3195696669526598,0.29773284969304303,-6.685497059382567,2.0463577254772476,-0.3020479596112079,0.1422537967232079
Frances Nunziata,-2.2836323071629225,0.30439167624200225,-6.641539454633919,2.0742748403080737,-0.2945797408296121,0.15287831034087387
Gord Perks,-1.952595641715222,0.37734445439243025,-6.287686316596941,2.3824950331664976,-0.2530896364874132,0.22221612194192084
Jamaal Myers,-1.8608520538701159,0.4206534853911451,-6.3899184908404,2.6682143831001683,-0.2738346886585127,0.1853162947178957
James Pasternak,-2.1974172302424115,0.3184922212141802,-6.514805443005307,2.119970982520484,-0.20545112182043837,0.32451262801196995
Jon Burnside,-2.3276839763983763,0.283299669658595,-6.579731833466335,1.9243638806695818,-0.2660274319654336,0.19867018590784802
Josh Matlow,-2.332072463734281,0.290659781703398,-6.6576943941278195,1.9935494666592581,-0.29610378175770397,0.15066576207886706
Lily Cheng,-2.612623849423928,0.23996220354987707,-6.9703212987397825,1.745073599891927,-0.335240043084967,0.1013823339673575
Michael Thompson,-2.2351161283902883,0.30162909908962465,-6.476137894449807,2.0059056376692306,-0.3066940457690668,0.13591716946244106
Mike Colle,-2.1880786415144393,0.3395651820879275,-6.67859613118304,2.302438848154162,-0.245694125063617,0.23647988733839803
Neethan Shan,-2.2302766227246353,0.3166670782382416,-6.595730478489889,2.1351772330406185,-0.28877112622170426,0.1615223763077185
Nick Mantas,-2.2252165948119385,0.2958958524748617,-6.397653567675896,1.9472203780520183,-0.31770792034088413,0.1217125774860588
Olivia Chow,-2.307598677719844,0.26461366601336034,-6.361921226572051,1.7467238711323634,-0.3405828906054278,0.09572018174856783
Parthi Kandavel,-2.423576235279053,0.30008354626524847,-7.007511269261152,2.1603587987030464,-0.3236228138691513,0.1145469706823594
Paul Ainslie,-1.9398839598412843,0.3878986031309948,-6.343347776406803,2.4635798567242353,-0.25801879658877586,0.21303531707762047
Paula Fletcher,-2.3160863611461027,0.3081385490804577,-6.770297773486,2.1381250511937946,-0.3020479596112079,0.1422537967232079
Rachel Chernos Lin,-2.227148776471746,0.3122617704195726,-6.546975846637113,2.092678293693621,-0.22722333945627723,0.27469321795685325
Shelley Carroll,-2.3070082986820464,0.2751712987731436,-6.450634746825779,1.8366181494616867,-0.3138954252967935,0.12650121077740328
Stephen Holyday,-4.696889594348471,1.1441731432809163e-05,-6.794841369251402,-2.598937819445541,-0.3775599495140099,0.06278647490324243
Vincent Crisanti,-2.557169948175677,0.2854196000221889,-7.249034422889242,2.134694526537888,-0.32936804580625084,0.10788816366174278
