dropped_member,logit_coef,logit_p,logit_ci_low,logit_ci_high,spearman_rho,spearman_p
Alejandra Bravo,-2.3806238043194408,0.24840269913467772,-6.423063771385646,1.661816162746765,-0.2886600390368967,0.16169097444246627
Amber Morley,-2.605479092527657,0.2021248706853539,-6.609054805165023,1.3980966201097096,-0.32764573396429364,0.10985358065062018
Anthony Perruzza,-1.9460315812669804,0.642963974035129,-10.174012398000981,6.281949235467019,-0.23331962868639408,0.26167036933003796
Ausma Malik,-2.721756825588332,0.1689041329936729,-6.5993574366116885,1.155843785435025,-0.37856215616267935,0.062035347941089745
Brad Bradford,-2.2560794598186877,0.27527753028958235,-6.30912922824078,1.7969703086034041,-0.25068098036723285,0.2267970553073396
Chris Moise,-2.5622224723408706,0.20570709977258894,-6.530637631254793,1.4061926865730516,-0.29944331635724053,0.1458973493407959
Dianne Saxe,-2.569174068211751,0.21633240438614187,-6.642075365714304,1.503727229290802,-0.32764573396429364,0.10985358065062018
Frances Nunziata,-2.5337151722196047,0.22189493351368006,-6.599184513534471,1.5317541690952616,-0.32018038812713256,0.11867858583651411
Gord Perks,-2.2510929257110748,0.27737838661393033,-6.312913644073127,1.8107277926509777,-0.27870624458734855,0.1773049063379725
Jamaal Myers,-2.1724101030585596,0.31492309623755377,-6.409302139091107,2.064481932973988,-0.2886600390368967,0.16169097444246627
James Pasternak,-2.5364835529130896,0.20709936624572778,-6.477105590070954,1.4041384842447742,-0.25068098036723285,0.2267970553073396
Jon Burnside,-2.588887291583882,0.19951871488149575,-6.54401322158833,1.3662386384205663,-0.29302574056440056,0.1551579948655087
Josh Matlow,-2.6194874314463266,0.20215487239872454,-6.644856002520987,1.4058811396283342,-0.3222436251004463,0.11618940706335953
Lily Cheng,-2.935574274772757,0.15635553453427334,-6.994749024784213,1.1236004752386992,-0.38819798353237833,0.055162477220486554
Michael Thompson,-2.485582325800159,0.2164573106148795,-6.427037465241362,1.4558728136410442,-0.3277484439260781,0.10973563840571816
Mike Colle,-2.5095709956699093,0.23935235153506473,-6.689954279260939,1.6708122879211205,-0.2638078560283548,0.20258343387694255
Neethan Shan,-2.4837638734833845,0.23053342781774577,-6.543934834126077,1.5764070871593083,-0.29944331635724053,0.1458973493407959
Nick Mantas,-2.5316854268956925,0.2107082648335702,-6.496156421097399,1.4327855673060137,-0.3294422343339648,0.10780409073766664
Olivia Chow,-2.5705205145342838,0.186470250708076,-6.3841251709395905,1.2430841418710235,-0.3573897760640955,0.07944419875758323
Parthi Kandavel,-2.6105088295017493,0.2274857450074188,-6.850022750530734,1.629005091527235,-0.3367700455430461,0.09973609210744898
Paul Ainslie,-2.2021162036353754,0.29054595816105777,-6.28572639839812,1.8814939911273694,-0.27870624458734855,0.1773049063379725
Paula Fletcher,-2.575100617631213,0.22425405508104546,-6.7280918200744395,1.577890584812014,-0.32764573396429364,0.10985358065062018
Rachel Chernos Lin,-2.437584443219836,0.23829852474007296,-6.488953134089127,1.6137842476494546,-0.2540685611830063,0.22037213693264474
Shelley Carroll,-2.575564715061664,0.19599536391784456,-6.4795375798816846,1.328408149758356,-0.33113602474185144,0.1058977665241087
Stephen Holyday,-4.768958562789462,9.167943270952082e-07,-6.673123853048098,-2.864793272530825,-0.4031286752067006,0.045699138276275045
Vincent Crisanti,-2.7826253730343584,0.21050120596707422,-7.138076456578125,1.5728257105094086,-0.3492122886049813,0.08707848601788583
