item_id,agenda_item_title,linked_via,link_confidence,side,beneficiary_context
2023.CC1.5,"415 Broadview Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",address,street_type_matched,developer,
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,address,street_type_matched,developer,Trinity Development Group Inc.; ; ; Trinity Development Group; Trinity Development Group Inc.
2023.CC5.24,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,address,street_type_matched,developer,Fengate Asset Management; Artis Concorde Limited; Fengate CCC Holdings LP; Fengate Asset Management; Fengate CCC Holdings LP; Fengate Asset Management
2023.CC6.13,"15, 19, 21 and 23 Toryork Drive - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,Centrillium Inc.; Berkshire Axis Group; Berkshire Axis Group
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,address,street_type_matched,developer,Fengate Asset Management; Artis Concorde Limited; Fengate CCC Holdings LP; Fengate Asset Management; Fengate CCC Holdings LP; Fengate Asset Management
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada; Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada; Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada; Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada; Triage Development Corporation; ; Amdev (Beamish) LP; Triage Development Corp.; 
2023.DM10.1,20 Broadoaks Drive and 11 Catford Road - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,
2023.EY5.1,4500 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Bousfields Inc.
2023.EY6.2,2801 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Bousfields Inc.
2023.EY7.3,"5, 6 and 9 Jopling Avenue South - Zoning By-law Amendment - Decision Report - Approval",identity+address,org_key_merge,developer,Bousfields Inc.; Quadrangle Architects Limited
2023.MM10.5,"Request to Consider Heritage Designation at 3100 Weston Road - by Councillor Anthony Perruzza, seconded by Councillor James Pasternak",address,street_type_matched,developer,AvranceCorp Developments; AvranceCorp Developments; 
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,identity+address,org_key_merge,developer,Diamond Schmitt Architects inc.; Goldberg Group; Tenblock
2023.PB1.4,"51 Panorama Court - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement",address,street_type_matched,developer,
2023.PB4.10,"5, 7, 9, 11, 13 Charles Street West; 11, 13 Irwin Avenue; 10 Isabella Street, 145 St. Luke Lane and 750 and 756 Yonge Street - Inclusion of 11 Properties on the Heritage Register",address,street_type_matched,developer,Royal Canadian Legion; Royal Canadian Legion Branch 238
2023.PB4.3,"153 and 185 Eastern Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",address,street_type_matched,developer,
2023.PB7.1,"38 Walmer Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",address,street_type_matched,developer,; ; 
2023.SC2.1,"1625, 1633 and 1641 Kingston Road and 52 Birchcliff Avenue - Rental Housing Demolition Application - Final Report",address,street_type_matched,developer,
2023.TE1.6,415 Broadview Avenue - Official Plan and Zoning By-law Amendment - Request for Direction Report,identity+address,org_key_merge,developer,Bousfields Inc.
2023.TE4.13,"25 St. Mary Street - Official Plan Amendment,  Zoning Amendment, and Rental Housing Demolition Applications - Decision Report - Approval",identity+address,org_key_merge,developer,Microbjo Properties Inc.; Urban Strategies Inc.; gh3*
2023.TE4.36,Ontario Place - Official Plan Amendment and Zoning By-law Amendment - Status Report,identity,org_key_merge,developer,Urban Strategies Inc.
2023.TE6.21,325 Gerrard Street East (Regent Park Phases 4 and 5) - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,identity,org_key_merge,developer,Toronto Community Housing Corporation
2023.TE9.12,822-838 Richmond Street West Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval,identity+address,org_key_merge,developer,Hullmark Developments Ltd.
2023.TE9.27,685 Lake Shore Boulevard East - Applications for Zoning By-law Amendment and Site Plan Control - Appeal Report,identity+address,org_key_merge,developer,SLH Lakeshore Inc.
2024.CC14.10,"3585 and 3595 St. Clair Avenue East, 636 to 646 and 641 to 663 Danforth Road, and 411 and 415 Kennedy Road - Official Plan Amendment, Zoning Amendment, Draft Plan of Subdivision - Request for Direction",address,street_type_matched,developer,St. Clair Investment Group; Republic Developments Inc.; Toronto (Scarborough Junction) Limited Partnership; Harlo Capital
2024.CC17.7,4884-4896 Dundas Street West - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,; Rockport Group; Rockport Homes Limited
2024.CC19.12,"300 Borough Drive, 1755 Brimley Road, 400 to 580 Progress Avenue and 350 Town Centre Court - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,
2024.CC20.19,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment - Request for Direction Report",address,street_type_matched,developer,; The Don Way East Limited; Plaza Partners; The Donway Acquisition Limited Partnership
2024.CC21.3,70-86 Lynn Williams Street - Zoning By-law Amendment Application- Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,Collecdev; Collecdev; Collecdev
2024.CC21.4,"4195 Dundas Street West and 556, 558, 560, 562 and 564 Prince Edward Drive North - Official Plan Amendment and Zoning By-law Amendment Applications - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,Dunpar Developments Inc.; 1136974 Ontario Inc
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,; ELAD Canada; Elad Canada; Elad Canada
2024.CC24.12,33-51 Walsh Avenue and 2717-2745 Weston Road - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,
2024.CC24.13,417-419 Burnhamthorpe Road - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,
2024.CC24.6,"4001 Steeles Avenue West, 5000 Jane Street and 360 Hullmar Drive - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,
2024.EY10.5,4884-4896 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Appeal Report,address,street_type_matched,developer,; Rockport Group; Rockport Homes Limited
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,identity+address,org_key_merge,developer,Brad-Jay Investments Ltd.; Urban Strategies Inc.
2024.EY18.7,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Official Plan Amendment, Zoning By-law Amendment, and Draft Plan of Subdivision Applications - Appeal Report",identity+address,org_key_merge,developer,Bousfields Inc.
2024.NY10.5,3 Swift Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,identity+address,org_key_merge,developer,2724471 Ontario Inc.; Republic Developments
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,The Biglieri Group Ltd.
2024.NY11.6,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment, Plan of Subdivision, and Site Plan Applications - Appeal Report",identity+address,org_key_merge,developer,Bousfields Inc.
2024.NY13.3,"824 Sheppard Avenue West, 177, 179 and 181 Cocksfield Avenue - Zoning Amendment  and Rental Housing Demolition and Conversion Application - Decision Report - Approval",identity+address,org_key_merge,developer,Bousfields Inc.
2024.NY15.3,155 Antibes Drive - Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Urban Strategies Inc.
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,identity+address,org_key_merge,developer,Bousfields Inc.; Tenblock
2024.NY18.12,230 and 240 The Donway West - Official Plan Amendment and Zoning Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,Donway Co-operative Development Corporation
2024.PB15.10,"49 and 51 Yonge Street - Alterations to Heritage Properties, Demolition of Heritage Attributes and Authority to Enter into a Heritage Easement Agreement",address,street_type_matched,developer,SmartCentres REIT; Calloway Real Estate Investment Trust Inc.; SmartCentres REIT; 
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",address,street_type_matched,developer,YI Developments Limited; YI Developments Limited; YI Developments; Rabba Fine Foods; YI Developments; Colliers International Group Inc.; YI Developments; Rabba Fine Foods; YI Developments
2024.PB15.13,1779-1787 Bayview Avenue - Official Plan and Zoning By-law Amendment and Site Plan Control Applications - Heritage Matters,address,street_type_matched,developer,Condor Properties
